Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_09_Source_of_Funds:_Overseas,Size,06_100 or more employees,2022,268,R,NZ Dollars (millions),5 and 12 and 28,16.2,Size
_12a_Purpose_of_research:_Energy,Sector,01_Business Sector,2023,214,R,NZ Dollars (millions),1 and 12 and 15 and 28,51.5,Sector
_12c_Purpose_of_research:_Construction_and_transport:_Total,Total,Total,2022,352,R,NZ Dollars (millions),12 and 15 and 28,9,Total
_25_Personnel_by_Occupation:_FTE:_Total,Published_Industry,02_Food_Manufacturing,2022,750,R,Number of employees,14 and 28,11.2,Published_Industry
_37_Personnel_by_Qualification:_FTE:_Total,Published_Industry,12_Computer services,2023,7000,R,Number of employees,14 and 28,12,Published_Industry
_09_Source_of_Funds:_Overseas,Published_Industry,12_Computer services,2022,212,R,NZ Dollars (millions),12 and 28,28.1,Published_Industry
_17_Type_of_research:_Experimental,Industry,02_Manufacturing Industry Group,2023,574,R,NZ Dollars (millions),12 and 26 and 28,6.9,Industry
_25_Personnel_by_Occupation:_FTE:_Total,Industry,03_Services Industry Group,2023,14000,R,Number of employees,14 and 28,7.8,Industry
_37_Personnel_by_Qualification:_FTE:_Total,Published_Industry,02_Food_Manufacturing,2022,760,R,Number of employees,14 and 28,11.2,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Sector,01_Business Sector,2022,1983,R,NZ Dollars (millions),1 and 12 and 28,6.2,Sector
_14c_Purpose_of_research:_Other,Total,Total,2022,228,R,NZ Dollars (millions),12 and 15 and 16 and 28,17,Total
_01_Total_RD_Expenditure,Published_Industry,11_Scientific research and technical services,2023,382,R,NZ Dollars (millions),12,12.6,Published_Industry
_17_Type_of_research:_Experimental,Industry,03_Services Industry Group,2022,1187,R,NZ Dollars (millions),12 and 26 and 28,10.5,Industry
_23_Personnel_by_Occupation:_FTE:_Technician,Published_Industry,02_Food_Manufacturing,2023,200,R,Number of employees,14 and 28,16.1,Published_Industry
_22_Personnel_by_Occupation:_FTE:_Researcher_Total,Published_Industry,02_Food_Manufacturing,2022,420,R,Number of employees,14 and 28,11.7,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Published_Industry,11_Scientific research and technical services,2023,26,R,NZ Dollars (millions),7 and 9,82.1,Published_Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,10_Wholesale trade,2023,81,R,NZ Dollars (millions),12 and 28,16.3,Published_Industry
_31_Personnel_by_Qualification:_Headcount:_Total,Industry,03_Services Industry Group,2022,22000,R,Number of employees,14 and 28,7.6,Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Sector,01_Business Sector,2023,459,R,NZ Dollars (millions),1 and 7 and 9,63.2,Sector
